student_id,class_id,current_attendance_rate
00000000-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000004,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000005,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000006,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000007,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000008,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000009,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000010,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000011,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000012,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000013,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000014,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000015,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000016,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000017,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000018,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000019,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000020,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000021,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000022,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000023,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000024,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000025,11111111-0000-0000-0000-000000000001,0
00000000-0000-0000-0000-000000000026,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000027,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000028,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000029,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000030,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000031,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000032,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000033,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000034,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000035,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000036,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000037,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000038,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000039,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000040,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000041,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000042,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000043,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000044,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000045,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000046,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000047,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000048,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000049,11111111-0000-0000-0000-000000000002,0
00000000-0000-0000-0000-000000000050,11111111-0000-0000-0000-000000000003,0
00000000-0000-0000-0000-000000000051,11111111-0000-0000-0000-000000000003,0
00000000-0000-0000-0000-000000000052,11111111-0000-0000-0000-000000000003,0
00000000-0000-0000-0000-000000000053,11111111-0000-0000-0000-000000000003,0
00000000-0000-0000-0000-000000000054,11111111-0000-0000-0000-000000000003,0
